50,70
1,8,10
2,17,10
2,34,17
3,35,16
3,38,1
4,5,6
4,22,8
4,25,3
5,12,13
5,19,2
5,21,20
5,50,8
6,31,2
6,32,8
6,38,16
7,20,1
7,44,11
8,20,3
8,32,2
8,41,6
9,23,9
9,35,10
10,23,13
10,27,12
11,24,5
11,26,14
11,30,14
11,37,15
11,38,14
13,34,5
13,41,18
14,23,15
14,26,7
14,44,9
15,27,19
15,33,20
16,34,11
16,46,13
17,39,16
17,47,9
18,29,19
18,32,14
20,43,10
21,34,1
22,40,5
23,28,20
23,32,13
23,46,6
23,48,10
24,36,9
25,30,16
25,32,17
25,36,8
25,42,2
26,36,16
29,49,15
32,34,4
32,35,11
32,47,10
33,35,17
33,45,18
34,49,16
35,36,3
37,46,6
38,45,15
38,49,10
39,50,5
40,45,19
42,43,15
44,50,16
